wazuh.indexer-1  | [2026-05-05T12:30:00,187][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[validate-template-pjhvasdyscgs0ib6owqlra/yeNIjjxvQZCqHPM3kmHQhg]
wazuh.indexer-1  | [2026-05-05T12:30:00,193][INFO ][o.o.c.m.MetadataIndexTemplateService] [wazuh.indexer] adding index template [wazuh-states-vulnerabilities-wazuh.manager_template] for index patterns [wazuh-states-vulnerabilities-*]
wazuh.indexer-1  | [2026-05-05T12:30:00,724][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[validate-template-rbjj-bkst_amkcrtqpwapq/riTbg9CTRam63epueyXnUw]
wazuh.indexer-1  | [2026-05-05T12:30:00,750][INFO ][o.o.c.m.MetadataIndexTemplateService] [wazuh.indexer] adding index template [wazuh-states-inventory-system-wazuh.manager_template] for index patterns [wazuh-states-inventory-system*]
wazuh.indexer-1  | [2026-05-05T12:30:00,996][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[validate-template-yslsau-xsfaweai6kkv-fg/GV0dtMETQta8OQV-3y-uHw]
wazuh.indexer-1  | [2026-05-05T12:30:01,039][INFO ][o.o.c.m.MetadataIndexTemplateService] [wazuh.indexer] adding index template [wazuh-states-inventory-processes-wazuh.manager_template] for index patterns [wazuh-states-inventory-processes*]
wazuh.indexer-1  | [2026-05-05T12:30:01,262][INFO ][o.o.c.r.a.AllocationService] [wazuh.indexer] Cluster health status changed from [YELLOW] to [GREEN] (reason: [shards started [[wazuh-alerts-4.x-2026.05.05][1], [wazuh-alerts-4.x-2026.05.05][0], [wazuh-alerts-4.x-2026.05.05][2]]]).
wazuh.indexer-1  | [2026-05-05T12:30:01,311][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[validate-template-2kdf8te6sz2wccaho2xvlw/CWu852fzTeqn82LSaEQR7Q]
wazuh.indexer-1  | [2026-05-05T12:30:01,318][INFO ][o.o.c.m.MetadataIndexTemplateService] [wazuh.indexer] adding index template [wazuh-states-inventory-ports-wazuh.manager_template] for index patterns [wazuh-states-inventory-ports*]
wazuh.indexer-1  | [2026-05-05T12:30:01,396][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[wazuh-states-inventory-packages-wazuh.manager/SD5zhCcdTSy6Y2_h5OTg4A]
wazuh.indexer-1  | [2026-05-05T12:30:01,414][INFO ][o.o.c.m.MetadataCreateIndexService] [wazuh.indexer] [wazuh-states-inventory-packages-wazuh.manager] creating index, cause [api], templates [wazuh-states-inventory-packages-wazuh.manager_template], shards [1]/[0]
wazuh.indexer-1  | [2026-05-05T12:30:01,454][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[wazuh-states-inventory-packages-wazuh.manager/SD5zhCcdTSy6Y2_h5OTg4A]
wazuh.indexer-1  | [2026-05-05T12:30:01,487][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[validate-template-tvremkj5r4c2ppbak5agzg/DmwENF2WRYaqIcdaHUfT1Q]
wazuh.indexer-1  | [2026-05-05T12:30:01,498][INFO ][o.o.c.m.MetadataIndexTemplateService] [wazuh.indexer] adding index template [wazuh-states-inventory-hotfixes-wazuh.manager_template] for index patterns [wazuh-states-inventory-hotfixes*]
wazuh.indexer-1  | [2026-05-05T12:30:01,615][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[validate-template-j8i9qiwltn6ukfenrn78ng/9i2xH4llSl6zJdNr8tPy9Q]
wazuh.indexer-1  | [2026-05-05T12:30:01,625][INFO ][o.o.c.m.MetadataIndexTemplateService] [wazuh.indexer] adding index template [wazuh-states-inventory-protocols-wazuh.manager_template] for index patterns [wazuh-states-inventory-protocols*]
wazuh.indexer-1  | [2026-05-05T12:30:03,983][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[validate-template-kv4qzd4dsmg05ukjujrcug/nTk0SIVoS3S021Yluo1pXA]
wazuh.indexer-1  | [2026-05-05T12:30:04,110][INFO ][o.o.c.m.MetadataIndexTemplateService] [wazuh.indexer] adding index template [wazuh-states-inventory-interfaces-wazuh.manager_template] for index patterns [wazuh-states-inventory-interfaces*]
wazuh.indexer-1  | [2026-05-05T12:30:04,310][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[validate-template-p5jd4e39s4oa6aqrus6phw/b4BHiHjAQDWO31odm6jW_A]
wazuh.indexer-1  | [2026-05-05T12:30:04,402][INFO ][o.o.c.m.MetadataIndexTemplateService] [wazuh.indexer] adding index template [wazuh-states-inventory-hardware-wazuh.manager_template] for index patterns [wazuh-states-inventory-hardware*]
wazuh.indexer-1  | [2026-05-05T12:30:04,732][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[wazuh-states-vulnerabilities-wazuh.manager/r6hgLYYdScaPfPF9fYCq_w]
wazuh.indexer-1  | [2026-05-05T12:30:04,904][INFO ][o.o.c.m.MetadataCreateIndexService] [wazuh.indexer] [wazuh-states-vulnerabilities-wazuh.manager] creating index, cause [api], templates [wazuh-states-vulnerabilities-wazuh.manager_template], shards [1]/[0]
wazuh.indexer-1  | [2026-05-05T12:30:05,098][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[wazuh-states-vulnerabilities-wazuh.manager/r6hgLYYdScaPfPF9fYCq_w]
wazuh.indexer-1  | [2026-05-05T12:30:05,406][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[validate-template-uz4f3didriepht7-nzvydw/pzLPYCXUQRSdctwT6kBLlA]
wazuh.indexer-1  | [2026-05-05T12:30:05,421][INFO ][o.o.c.m.MetadataIndexTemplateService] [wazuh.indexer] adding index template [wazuh-states-inventory-networks-wazuh.manager_template] for index patterns [wazuh-states-inventory-networks*]
wazuh.indexer-1  | [2026-05-05T12:30:05,750][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[wazuh-states-inventory-system-wazuh.manager/G7SzjzNWSY-3q81PKz3Ztg]
wazuh.indexer-1  | [2026-05-05T12:30:05,846][INFO ][o.o.c.m.MetadataCreateIndexService] [wazuh.indexer] [wazuh-states-inventory-system-wazuh.manager] creating index, cause [api], templates [wazuh-states-inventory-system-wazuh.manager_template], shards [1]/[0]
wazuh.indexer-1  | [2026-05-05T12:30:06,188][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[wazuh-states-inventory-system-wazuh.manager/G7SzjzNWSY-3q81PKz3Ztg]
wazuh.indexer-1  | [2026-05-05T12:30:06,266][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[wazuh-statistics-2026.19w/xJlcwXS7RRSJ5s3NqX-pjQ]
wazuh.indexer-1  | [2026-05-05T12:30:06,290][INFO ][o.o.c.m.MetadataCreateIndexService] [wazuh.indexer] [wazuh-statistics-2026.19w] creating index, cause [api], templates [wazuh-statistics], shards [1]/[0]
